Sentence #,Word,Tag
,'s,
,national,
,symbols,
,.,
Sentence: 229,Sam,B-per
,Beattie,I-per
,reports,
,from,
,Jing,B-nat
,Jing,I-nat
,'s,
,home,
,in,
,Sichuan,B-ge
,province,
,.,
Sentence: 230,British,B-gpe
,defense,
,officials,
,say,
,14,
,British,B-gpe
,military,
,personnel,
,have,
,been,
,killed,
,in,
,a,
,crash,
,of,
,a,
,NATO,B-rg
,aircraft,
,in,
,southern,
,Afghanistan,B-ge
,.,
Sentence: 231,A,
,NATO,B-rg
,spokesman,
,says,
,the,
,aircraft,
,went,
,off,
,the,
,radar,
,and,
,crashed,
,in,
,an,
,open,
,area,
,near,
,Kandahar,B-ge
,Saturday,B-tim
,.,
Sentence: 232,Officials,
,say,
,the,
,aircraft,
,was,
,supporting,
,a,
,NATO,B-rg
,mission,
,in,
,the,
,country,
,'s,
,south,
,",",
,but,
,there,
,is,
,no,
,indication,
,of,
,enemy,
,action,
,causing,
,the,
,crash,
,.,
Sentence: 233,The,
,crash,
,comes,
,as,
,NATO,B-rg
,forces,
,launched,
,an,
,offensive,
,to,
,drive,
,Taleban,B-rg
,remnants,
,out,
,of,
,Kandahar,B-ge
,.,
Sentence: 234,Officials,
,say,
,"""",
,Operation,B-eve
,Medusa,I-eve
,"""",
,is,
,aimed,
,at,
,removing,
,the,
,Taleban,B-rg
,threat,
,so,
,that,
,stability,
,",",
,reconstruction,
,and,
,development,
,can,
,be,
,achieved,
,in,
,the,
,area,
,.,
Sentence: 235,Sri,B-ge
,Lankan,B-gpe
,authorities,
,say,
,a,
,prominent,
,Tamil,B-rg
,journalist,
,was,
,found,
,shot,
,dead,
,Friday,B-tim
,in,
,Colombo,B-ge
,",",
,hours,
,after,
,he,
,was,
,abducted,
,by,
,several,
,attackers,
,as,
,he,
,left,
,a,
,restaurant,
,.,
Sentence: 236,Dharmeratnam,B-per
,Sivaram,I-per
,was,
,a,
,board,
,member,
,of,
,the,
,pro-rebel,
,TamilNet,B-rg
,Web,B-art
,site,
,and,
,a,
,columnist,
,for,
,Sri,B-gpe
,Lanka,I-gpe
,'s,
,english,B-art
,newspaper,
,",",
,the,
,Daily,B-art
,Mirror,I-art
,.,
Sentence: 237,Mr.,B-per
,Sivaram,I-per
,'s,
,Web,B-art
,site,
,became,
,popular,
,for,
,ongoing,
,reports,
,on,
,the,
,Sri,B-rg
,Lankan,B-ge
,civil,
,war,
,and,
,was,
,a,
,prominent,
,supporter,
,of,
,the,
,Tamil,B-rg
,Tiger,I-rg
,rebel,
,movement,
,.,
Sentence: 238,Mr.,B-per
,Sivaram,I-per
,",",
,who,
,was,
,also,
,brutally,
,attacked,
,in,
,2001,B-tim
,",",
,was,
,found,
,near,
,a,
,lake,
,gagged,
,with,
,gunshot,
,wounds,
,to,
,the,
,head,
,.,
Sentence: 239,No,
,one,
,claimed,
,responsibility,
,for,
,the,
,killing,
,.,
Sentence: 240,Japan,B-gpe
,and,
,North,B-gpe
,Korea,I-gpe
,say,
,they,
,are,
,considering,
,a,
,resumption,
,of,
,bilateral,
,talks,
,as,
,part,
,of,
,efforts,
,to,
,normalize,
,relations,
,.,
Sentence: 241,Japanese,B-gpe
,media,
,reported,
,Monday,B-tim
,that,
,the,
,two,
,countries,
,hope,
,to,
,arrange,
,to,
,hold,
,the,
,talks,
,in,
,Beijing,B-ge
,in,
,early,
,November,B-tim
,.,
Sentence: 242,The,
,talks,
,could,
,come,
,before,
,six-party,
,talks,
,on,
,North,B-gpe
,Korea,I-gpe
,'s,
,nuclear,
,ambitions,
,resume,
,.,
Sentence: 243,Japan,B-gpe
,and,
,North,B-gpe
,Korea,I-gpe
,have,
,not,
,had,
,formal,
,bilateral,
,talks,
,for,
,about,
,a,
,year,
,.,
Sentence: 244,Tokyo,B-gpe
,and,
,Pyongyang,B-gpe
,are,
,at,
,odds,
,over,
,North,B-gpe
,Korea,I-gpe
,'s,
,nuclear,
,weapons,
,program,
,and,
,the,
,North,B-gpe
,'s,
,kidnapping,
,of,
,Japanese,B-gpe
,citizens,
,in,
,the,
,1970s,B-tim
,and,
,1980s,B-tim
,.,
Sentence: 245,A,
,human,
,rights,
,group,
,has,
,accused,
,coalition,
,forces,
,in,
,Iraq,B-ge
,of,
,failing,
,to,
,secure,
,evidence,
,considered,
,vital,
,to,
,the,
,upcoming,
,war,
,crimes,
,trial,
,of,
,former,
,Iraqi,B-gpe
,leader,
,Saddam,B-per
,Hussein,I-per
,.,
Sentence: 246,Human,B-rg
,Rights,I-rg
,Watch,I-rg
,",",
,in,
,a,
,report,
,released,
,Thursday,B-tim
,",",
,said,
,coalition,
,forces,
,failed,
,to,
,stop,
,people,
,from,
,stealing,
,thousands,
,of,
,Iraqi,B-gpe
,government,
,documents,
,in,
,the,
,months,
,after,
,the,
,2003,B-tim
,invasion,
,of,
,Iraq,B-ge
,.,
Sentence: 247,The,
,group,
,also,
,accused,
,troops,
,of,
,failing,
,to,
,stop,
,people,
,from,
,damaging,
,several,
,mass,
,graves,
,in,
,the,
,war-torn,
,country,
,.,
Sentence: 248,The,
,Associated,B-rg
,Press,I-rg
,quotes,
,a,
,U.S.,B-gpe
,Defense,B-rg
,Department,I-rg
,spokeswoman,
,as,
,saying,
,it,
,has,
,not,
,reviewed,
,the,
,report,
,.,
Sentence: 249,Saddam,B-per
,Hussein,I-per
,was,
,arraigned,
,in,
,July,B-tim
,at,
,a,
,U.S.,B-gpe
,military,
,base,
,on,
,the,
,outskirts,
,of,
,Baghdad,B-ge
,.,
Sentence: 250,He,
,faces,
,charges,
,of,
,war,
,crimes,
,",",
,genocide,
,and,
,crimes,
,against,
,humanity,
,.,
Sentence: 251,Egypt,B-gpe
,'s,
,government,
,and,
,the,
,World,B-rg
,Health,I-rg
,Organization,I-rg
,say,
,three,
,Egyptian,B-gpe
,children,
,have,
,been,
,hospitalized,
,with,
,the,
,deadly,
,form,
,of,
,avian,
,flu,
,.,
Sentence: 252,The,
,children,
,come,
,from,
,different,
,parts,
,of,
,the,
,country,
,.,
Sentence: 253,WHO,B-rg
,says,
,they,
,are,
,receiving,
,treatment,
,and,
,are,
,in,
,stable,
,condition,
,.,
Sentence: 254,The,
,organization,
,says,
,the,
,children,
,had,
,a,
,history,
,of,
,contact,
,with,
,dead,
,birds,
,.,
Sentence: 255,Thirty,
,two,
,Egyptians,B-gpe
,have,
,contracted,
,the,
,H5N1,B-nat
,form,
,of,
,avian,
,flu,
,.,
Sentence: 256,Thirteen,
,of,
,them,
,have,
,died,
,.,
Sentence: 257,Egypt,B-ge
,has,
,had,
,the,
,largest,
,number,
,of,
,human,
,bird,
,flu,
,cases,
,outside,
,of,
,Asia,B-ge
,.,
Sentence: 258,The,
,head,
,of,
,the,
,U.N.,B-rg
,investigation,
,into,
,the,
,Iraq,B-gpe
,oil-for-food,
,program,
,says,
,Saddam,B-per
,Hussein,I-per
,illegally,
,obtained,
,more,
,money,
,from,
,oil,
,smuggling,
,than,
,from,
,corruption,
,in,
,the,
,U.N.,B-rg
,program,
,.,
Sentence: 259,Former,
,U.S.,B-gpe
,Federal,B-rg
,Reserve,I-rg
,Chairman,B-per
,Paul,I-per
,Volcker,I-per
,says,
,the,
,smuggling,
,began,
,before,
,the,
,start,
,of,
,the,
,oil-for-food,
,program,
,",",
,and,
,was,
,known,
,to,
,the,
,United,B-rg
,Nations,I-rg
,Security,I-rg
,Council,I-rg
,.,
Sentence: 260,In,
,an,
,interview,
,with,
,the,
,U.S.,B-gpe
,government-funded,B-rg
,alHurra,B-art
,television,
,station,
,",",
,Mr.,B-per
,Volcker,I-per
,said,
,there,
,is,
,a,
,lot,
,of,
,confusion,
,about,
,how,
,much,
,money,
,Saddam,B-per
,obtained,
,from,
,the,
,oil-for-food,
,program,
,itself,
,.,
Sentence: 261,He,
,refused,
,to,
,provide,
,specific,
,estimates,
,",",
,but,
,said,
,large,
,amounts,
,that,
,have,
,been,
,reported,
,in,
,the,
,media,
,were,
,from,
,smuggling,
,and,
,not,
,from,
,funds,
,diverted,
,from,
,the,
,program,
,.,
Sentence: 262,The,
,United,B-rg
,Nations,I-rg
,created,
,the,
,oil-for-food,
,program,
,after,
,the,
,first,
,Gulf,B-eve
,War,I-eve
,to,
,allow,
,Iraq,B-gpe
,to,
,sell,
,oil,
,and,
,use,
,the,
,profits,
,for,
,the,
,Iraqi,B-gpe
,people,
,'s,
,humanitarian,
,needs,
,.,
Sentence: 263,Kyrgyzstan,B-gpe
,'s,
,Justice,B-rg
,Ministry,I-rg
,says,
,four,
,people,
,",",
,including,
,parliament,
,member,
,Tynychbek,B-per
,Akmatbayev,I-per
,",",
,have,
,been,
,killed,
,at,
,a,
,prison,
,near,
,Bishkek,B-ge
,after,
,inmates,
,took,
,them,
,hostage,
,.,
Sentence: 264,Interior,B-per
,Minister,I-per
,Murat,I-per
,Sutalinov,I-per
,is,
,at,
,the,
,prison,
,to,
,head,
,negotiations,
,with,
,the,
,inmates,
,.,
Sentence: 265,The,
,ministry,
,gave,
,no,
,other,
,details,
,.,
Sentence: 266,It,
,is,
,not,
,clear,
,if,
,the,
,hostage-takers,
,made,
,any,
,demands,
,.,
Sentence: 267,Mr.,B-per
,Akmatbayev,I-per
,was,
,involved,
,in,
,negotiations,
,on,
,Wednesday,B-tim
,at,
,another,
,Kyrgyz,B-gpe
,prison,
,where,
,a,
,riot,
,over,
,poor,
,living,
,conditions,
,forced,
,the,
,staff,
,to,
,evacuate,
,earlier,
,this,
,week,
,.,
Sentence: 268,That,
,prison,
,",",
,also,
,near,
,Bishkek,B-ge
,",",
,remained,
,surrounded,
,by,
,security,
,forces,
,on,
,Thursday,B-tim
,.,
Sentence: 269,A,
,commercial,
,airplane,
,taking,
,off,
,from,
,Western,B-ge
,Europe,I-ge
,has,
,landed,
,in,
,Iraq,B-ge
,for,
,the,
,first,
,time,
,in,
,nearly,
,20,
,years,
,.,
Sentence: 270,The,
,plane,
,",",
,operated,
,by,
,France,B-gpe
,'s,
,Aigle,B-rg
,Azur,I-rg
,airline,
,",",
,took,
,off,
,from,
,Charles,B-art
,De,I-art
,Gaulle,I-art
,airport,
,in,
,Paris,B-ge
,late,
,Saturday,B-tim
,and,
,touched,
,down,
,at,
,Baghdad,B-art
,International,I-art
,Airport,I-art
,early,
,Sunday,B-tim
,.,
Sentence: 271,Officials,
,said,
,this,
,first,
,flight,
,was,
,largely,
,ceremonial,
,",",
,and,
,that,
,most,
,of,
,the,
,passengers,
,were,
,French,B-gpe
,diplomats,
,and,
,business,
,leaders,
,.,
Sentence: 272,One,
,of,
,the,
,passengers,
,",",
,French,B-gpe
,Foreign,B-per
,Trade,I-per
,Minister,I-per
,Anne-Marie,I-per
,Idrac,I-per
,",",
,called,
,it,
,a,
,historic,
,day,
,for,
,cooperation,
,between,
,France,B-gpe
,and,
,Iraq,B-gpe
,.,
Sentence: 273,Regular,
,service,
,between,
,Paris,B-ge
,and,
,Baghdad,B-ge
,is,
,not,
,expected,
,to,
,start,
,for,
,at,
,least,
,several,
,weeks,
,.,
Sentence: 274,Aigle,B-rg
,Azur,I-rg
,is,
,just,
,one,
,of,
,a,
,number,
,of,
,airlines,
,to,
,start,
,flying,
,to,
,Baghdad,B-ge
,.,
Sentence: 275,Etihad,B-rg
,and,
,Emirates,B-rg
,airlines,I-rg
,",",
,both,
,operating,
,out,
,of,
,the,
,United,B-ge
,Arab,I-ge
,Emirates,I-ge
,",",
,started,
,flying,
,to,
,Baghdad,B-ge
,earlier,
,this,
,year,
,.,
Sentence: 276,A,
,new,
,government,
,report,
,shows,
,U.S.,B-gpe
,businesses,
,added,
,a,
,moderate,
,"1,11,000",
,new,
,jobs,
,in,
,January,B-tim
,.,
Sentence: 277,The,
,Labor,B-rg
,Department,I-rg
,Friday,B-tim
,issued,
,a,
,report,
,that,
,also,
,showed,
,the,
,U.S.,B-gpe
,unemployment,
,rate,
,increased,
,for,
,the,
,first,
,time,
,in,
,three,
,months,
,-,
,to,
,4.6,
,percent,
,.,
Sentence: 278,According,
,to,
,the,
,report,
,",",
,American,B-gpe
,workers,
,earned,
,an,
,average,
,of,
,$,
,17.09,
,an,
,hour,
,in,
,January,B-tim
,-,
,a,
,slight,
,increase,
,from,
,the,
,previous,
,month,
,.,
Sentence: 279,Analysts,
,say,
,the,
,Department,B-rg
,of,I-rg
,Labor,I-rg
,report,
,will,
,help,
,ease,
,worries,
,that,
,a,
,tight,
,labor,
,market,
,will,
,significantly,
,inflate,
,wages,
,and,
,costs,
,.,
Sentence: 280,Earlier,
,this,
,week,
,",",
,the,
,U.S.,B-gpe
,central,
,bank,
,decided,
,to,
,maintain,
,a,
,key,
,interest,
,rate,
,",",
,despite,
,the,
,risk,
,of,
,inflation,
,.,
Sentence: 281,Venezuelan,B-gpe
,President,B-per
,Hugo,I-per
,Chavez,I-per
,has,
,denounced,
,Colombia,B-gpe
,'s,
,defense,
,minister,
,as,
,an,
,obstacle,
,to,
,peace,
,and,
,a,
,pawn,
,of,
,the,
,United,B-gpe
,States,I-gpe
,.,
Sentence: 282,Mr.,B-per
,Chavez,I-per
,reacted,
,sharply,
,Sunday,B-tim
,to,
,the,
,defense,
,minister,
,'s,
,remarks,
,about,
,a,
,meeting,
,between,
,Mr.,B-per
,Chavez,I-per
,and,
,Colombian,B-gpe
,President,B-per
,Alvaro,I-per
,Uribe,I-per
,.,
Sentence: 283,The,
,two,
,presidents,
,met,
,Friday,B-tim
,to,
,try,
,to,
,mend,
,ties,
,between,
,their,
,countries,
,.,
Sentence: 284,After,
,the,
,meeting,
,",",
,Colombian,B-gpe
,Defense,B-per
,Minister,I-per
,Juan,I-per
,Manuel,I-per
,Santos,I-per
,said,
,he,
,hoped,
,Venezuela,B-gpe
,would,
,follow,
,through,
,with,
,promises,
,made,
,during,
,the,
,meeting,
,.,
Sentence: 285,During,
,a,
,televised,
,speech,
,Sunday,B-tim
,",",
,Mr.,B-per
,Chavez,I-per
,called,
,on,
,President,B-per
,Uribe,I-per
,to,
,put,
,his,
,defense,
,minister,
,in,
,his,
,place,
,.,
Sentence: 286,Tensions,
,between,
,the,
,two,
,countries,
,rose,
,in,
,March,B-tim
,when,
,Colombia,B-gpe
,attacked,
,a,
,rebel,
,camp,
,in,
,Ecuador,B-ge
,.,
Sentence: 287,Venezuela,B-gpe
,responded,
,by,
,sending,
,troops,
,to,
,the,
,Colombian,B-gpe
,border,
,.,
Sentence: 288,China,B-gpe
,has,
,lashed,
,out,
,at,
,a,
,U.S.,B-gpe
,report,
,critical,
,of,
,Chinese,B-gpe
,policies,
,on,
,religious,
,freedom,
,",",
,saying,
,such,
,criticism,
,could,
,harm,
,U.S.,B-gpe
,-,
,China,B-gpe
,relations,
,.,
Sentence: 289,In,
,its,
,annual,
,report,
,issued,
,Wednesday,B-tim
,",",
,the,
,U.S.,B-rg
,Commission,I-rg
,on,I-rg
,International,I-rg
,Religious,I-rg
,Freedom,I-rg
,said,
,China,B-gpe
,continues,
,to,
,be,
,responsible,
,for,
,pervasive,
,and,
,severe,
,violations,
,of,
,religious,
,freedom,
,",",
,regularly,
,imprisoning,
,and,
,harassing,
,religious,
,leaders,
,and,
,practitioners,
,.,
Sentence: 290,In,
,a,
,statement,
,Saturday,B-tim
,Chinese,B-gpe
,Foreign,B-rg
,Ministry,I-rg
,spokesman,
,Liu,B-per
,Jianchao,I-per
,accused,
,the,
,U.S.,B-gpe
,body,
,of,
,attempting,
,to,
,interfere,
,with,
,Chinese,B-gpe
,internal,
,affairs,
,under,
,the,
,guise,
,of,
,religious,
,freedom,
,.,
Sentence: 291,He,
,said,
,such,
,criticism,
,runs,
,counter,
,to,
,the,
,good,
,development,
,of,
,U.S,B-gpe
,-,
,China,B-gpe
,relations,
,.,
Sentence: 292,Liu,B-per
,said,
,China,B-gpe
,protects,
,the,
,religious,
,freedom,
,of,
,Chinese,B-gpe
,citizens,
,according,
,to,
,law,
,",",
,and,
,that,
,citizens,
,enjoy,
,full,
,freedom,
,of,
,religion,
,.,
Sentence: 293,China,B-gpe
,'s,
,communist,
,government,
,allows,
,worship,
,only,
,in,
,state-approved,
,and,
,state-monitored,
,churches,
,",",
,temples,
,and,
,mosques,
,.,
Sentence: 294,People,
,who,
,worship,
,in,
,unauthorized,
,ways,
,are,
,subject,
,to,
,arrest,
,.,
Sentence: 295,President,B-per
,Bush,I-per
,has,
,issued,
,14,
,pardons,
,to,
,convicted,
,criminals,
,",",
,and,
,has,
,commuted,
,the,
,prison,
,sentences,
,of,
,two,
,others,
,.,
Sentence: 296,The,
,pardons,
,",",
,announced,
,Monday,B-tim
,",",
,include,
,no,
,high-profile,
,names,
,.,
Sentence: 297,They,
,were,
,for,
,people,
,convicted,
,of,
,such,
,acts,
,as,
,bank,
,embezzlement,
,",",
,making,
,FALSE,
,statements,
,to,
,the,
,federal,
,government,
,",",
,unlawfully,
,killing,
,wildlife,
,",",
,and,
,committing,
,drug,
,offenses,
,.,
Sentence: 298,Including,
,Monday,B-tim
,'s,
,actions,
,",",
,Mr.,B-per
,Bush,I-per
,has,
,granted,
,171,
,pardons,
,and,
,commuted,
,eight,
,sentences,
,while,
,U.S.,B-gpe
,president,
,.,
Sentence: 299,Pardons,
,are,
,one,
,of,
,the,
,president,
,'s,
,absolute,
,powers,
,",",
,and,
,in,
,recent,
,years,
,it,
,has,
,become,
,typical,
,for,
,the,
,president,
,to,
,issue,
,pardons,
,as,
,he,
,prepares,
,to,
,leave,
,office,
,.,
Sentence: 300,White,B-rg
,House,I-rg
,officials,
,say,
,he,
,made,
,the,
,pardon,
,decisions,
,on,
,a,
,case-by-case,
,basis,
,",",
,and,
,will,
,continue,
,to,
,review,
,clemency,
,requests,
,.,
Sentence: 301,Uganda,B-gpe
,'s,
,government,
,and,
,rebels,
,of,
,the,
,Lord,B-rg
,'s,I-rg
,Resistance,I-rg
,Army,I-rg
,are,
,nearing,
,a,
,peace,
,deal,
,to,
,end,
,more,
,than,
,20,
,years,
,of,
,conflict,
,.,
Sentence: 302,Officials,
,close,
,to,
,the,
,negotiations,
,say,
,an,
,accord,
,signed,
,Friday,B-tim
,provides,
,for,
,the,
,disarmament,
,and,
,demobilization,
,of,
,the,
,LRA,B-rg
,.,
Sentence: 303,The,
,two,
,sides,
,signed,
,a,
,permanent,
,cease-fire,
,agreement,
,last,
,Saturday,B-tim
,during,
,peace,
,talks,
,in,
,Sudan,B-ge
,.,
Sentence: 304,However,
,",",
,there,
,is,
,still,
,uncertainty,
,the,
,rebels,
,will,
,sign,
,the,
,final,
,peace,
,deal,
,until,
,rebel,
,leader,
,Joseph,B-per
,Kony,I-per
,is,
,granted,
,immunity,
,from,
,international,
,prosecution,
,.,
Sentence: 305,Kony,B-per
,is,
,one,
,of,
,five,
,LRA,B-rg
,officials,
,sought,
,by,
,the,
,International,B-rg
,Criminal,I-rg
,Court,I-rg
,for,
,alleged,
,war,
,crimes,
,.,
Sentence: 306,LRA,B-rg
,fighters,
,are,
,accused,
,of,
,murdering,
,thousands,
,of,
,civilians,
,and,
,raping,
,and,
,mutilating,
,others,
,during,
,the,
,long,
,insurgency,
,in,
,northern,
,Uganda,B-ge
,.,
Sentence: 307,World,
,number,
,one,
,men,
,'s,
,tennis,
,player,
,Roger,B-per
,Federer,I-per
,has,
,been,
,nearly,
,unbeatable,
,in,
,the,
,past,
,year,
,.,
Sentence: 308,But,
,his,
,warmup,
,for,
,the,
,Australian,B-eve
,Open,I-eve
,has,
,abruptly,
,ended,
,with,
,a,
,rare,
,loss,
,.,
Sentence: 309,The,
,Swiss,B-gpe
,star,
,was,
,upset,
,Wednesday,B-tim
,by,
,German,B-gpe
,Tommy,B-per
,Haas,I-per
,in,
,the,
,opening,
,match,
,of,
,the,
,Kooyong,B-eve
,Classic,I-eve
,in,
,Melbourne,B-ge
,.,
Sentence: 310,Because,
,he,
,was,
,playing,
,in,
,exhibition,
,tournament,
,",",
,the,
,loss,
,will,
,not,
,count,
,on,
,his,
,Association,B-art
,of,I-art
,Tennis,I-art
,Professionals,I-art
,Tour,I-art
,record,
,.,
Sentence: 311,The,
,41st,
,ranked,
,Haas,B-per
,fended,
,off,
,three,
,break,
,points,
,while,
,serving,
,for,
,the,
,match,
,and,
,closed,
,a,
,03-Jun,
,",",
,06-Apr,
,",",
,06-Apr,
,win,
,with,
,an,
,ace,
,.,
Sentence: 312,Federer,B-per
,said,
,he,
,is,
,completely,
,healthy,
,and,
,has,
,no,
,concerns,
,that,
,the,
,ankle,
,problem,
,that,
,curtailed,
,his,
,last,
,season,
,would,
,flare,
,up,
,before,
,the,
,Australian,B-eve
,Open,I-eve
,",",
,which,
,starts,
,Monday,B-tim
,.,
Sentence: 313,The,
,European,B-rg
,Space,I-rg
,Agency,I-rg
,says,
,it,
,has,
,received,
,the,
,first,
,images,
,and,
,scientific,
,readings,
,from,
,the,
,surface,
,of,
,Saturn,B-ge
,'s,
,moon,
,Titan,B-ge
,.,
Sentence: 314,Officials,
,at,
,agency,
,headquarters,
,in,
,Germany,B-ge
,Friday,B-tim
,say,
,information,
,taken,
,from,
,the,
,Huygens,B-art
,space,
,probe,
,show,
,what,
,looks,
,like,
,drainage,
,channels,
,on,
,the,
,moon,
,.,
Sentence: 315,They,
,say,
,the,
,surface,
,has,
,canyons,
,that,
,were,
,most,
,likely,
,caused,
,by,
,some,
,type,
,of,
,liquid,
,.,
Sentence: 316,The,
,space,
,probe,
,began,
,transmitting,
,data,
,to,
,the,
,Cassini,B-art
,spacecraft,
,while,
,landing,
,on,
,Saturn,B-ge
,'s,
,largest,
,moon,
,earlier,
,Friday,B-tim
,.,
Sentence: 317,Scientists,
,say,
,the,
,information,
,from,
,Huygens,B-art
,-,
,operated,
,jointly,
,by,
,the,
,American,B-gpe
,",",
,European,B-ge
,and,
,Italian,B-gpe
,space,
,agencies,
,-,
,may,
,provide,
,clues,
,about,
,how,
,primitive,
,Earth,B-ge
,evolved,
,into,
,a,
,life-bearing,
,planet,
,.,
Sentence: 318,Ugandan,B-gpe
,opposition,
,leader,
,Kizza,B-per
,Besigye,I-per
,has,
,been,
,released,
,on,
,bail,
,",",
,after,
,a,
,judge,
,ruled,
,his,
,detention,
,by,
,the,
,military,
,was,
,illegal,
,.,
Sentence: 319,Police,
,fired,
,tear,
,gas,
,to,
,disperse,
,hundreds,
,of,
,Dr.,B-per
,Besigye,I-per
,'s,
,supporters,
,who,
,took,
,to,
,the,
,streets,
,in,
,Kampala,B-ge
,after,
,his,
,release,
,Monday,B-tim
,.,
Sentence: 320,Uganda,B-gpe
,'s,
,military,
,had,
,detained,
,Dr.,B-per
,Besigye,I-per
,since,
,November,B-tim
,",",
,when,
,he,
,returned,
,from,
,self-imposed,
,exile,
,to,
,run,
,against,
,President,B-per
,Yoweri,I-per
,Museveni,I-per
,in,
,next,
,month,
,'s,
,presidential,
,election,
,.,
Sentence: 321,A,
,military,
,tribunal,
,has,
,charged,
,Dr.,B-per
,Besigye,I-per
,with,
,terrorism,
,and,
,possessing,
,illegal,
,weapons,
,.,
Sentence: 322,But,
,a,
,Ugandan,B-gpe
,High,B-rg
,Court,I-rg
,Judge,
,",",
,John,B-per
,Bosco,I-per
,Katutsi,I-per
,",",
,said,
,his,
,detention,
,was,
,illegal,
,because,
,the,
,High,B-rg
,Court,I-rg
,had,
,suspended,
,the,
,military,
,trial,
,.,
Sentence: 323,Dr.,B-per
,Besigye,I-per
,still,
,faces,
,rape,
,charges,
,",",
,for,
,which,
,a,
,civilian,
,trial,
,began,
,Monday,B-tim
,.,
Sentence: 324,He,
,has,
,denied,
,all,
,the,
,charges,
,",",
,which,
,supporters,
,say,
,were,
,trumped,
,up,
,to,
,keep,
,him,
,from,
,running,
,for,
,president,
,.,
Sentence: 325,U.S.,B-gpe
,President,B-per
,Barack,I-per
,Obama,I-per
,says,
,improvements,
,in,
,the,
,American,B-gpe
,health,
,care,
,system,
,are,
,inevitable,
,.,
Sentence: 326,Mr.,B-per
,Obama,I-per
,made,
,his,
,comments,
,in,
,the,
,White,B-art
,House,I-art
,Rose,I-art
,Garden,I-art
,Monday,B-tim
,as,
,he,
,nominated,
,an,
,African-American,B-gpe
,woman,
,",",
,Regina,B-per
,Benjamin,I-per
,",",
,to,
,become,
,the,
,U.S.,B-gpe
,Surgeon,B-per
,General,I-per
,.,
Sentence: 327,The,
,president,
,said,
,"""",
,naysayers,
,and,
,cynics,
,"""",
,should,
,not,
,bet,
,against,
,the,
,passage,
,of,
,health,
,insurance,
,legislation,
,.,
Sentence: 328,He,
,also,
,said,
,inaction,
,on,
,the,
,issue,
,is,
,not,
,an,
,option,
,.,
Sentence: 329,Mr.,B-per
,Obama,I-per
,has,
,vowed,
,to,
,sign,
,a,
,health,
,care,
,bill,
,into,
,law,
,this,
,year,
,.,
Sentence: 330,Democrats,B-rg
,in,
,the,
,House,B-rg
,of,I-rg
,Representatives,I-rg
,say,
,they,
,are,
,nearly,
,ready,
,to,
,unveil,
,their,
,health,
,care,
,reform,
,plan,
,.,
Sentence: 331,Controversy,
,over,
,extending,
,health,
,coverage,
,to,
,uninsured,
,Americans,B-gpe
,centers,
,on,
,how,
,to,
,pay,
,for,
,it,
,.,
Sentence: 332,It,
,is,
,expected,
,to,
,cost,
,$,
,1,
,trillion,
,over,
,10,
,years,
,.,
Sentence: 333,World,B-rg
,Bank,I-rg
,member,
,nations,
,meeting,
,in,
,Washington,B-ge
,have,
,approved,
,a,
,debt,
,relief,
,plan,
,for,
,17,
,African,B-gpe
,and,
,Latin,B-gpe
,American,I-gpe
,countries,
,that,
,could,
,total,
,$,
,37,
,billion,
,over,
,40,
,years,
,.,
Sentence: 334,World,B-rg
,Bank,I-rg
,President,B-per
,Paul,I-per
,Wolfowitz,I-per
,said,
,two-thirds,
,of,
,the,
,bank,
,members,
,have,
,now,
,approved,
,the,
,plan,
,",",
,meaning,
,the,
,bank,
,could,
,start,
,forgiving,
,debts,
,in,
,July,B-tim
,.,
Sentence: 335,The,
,move,
,follows,
,July,B-tim
,'s,
,pledge,
,from,
,the,
,wealthy,
,G-8,B-rg
,countries,
,to,
,cancel,
,the,
,debt,
,of,
,the,
,world,
,'s,
,poorest,
,countries,
,",",
,many,
,of,
,which,
,are,
,located,
,in,
,Africa,B-ge
,.,
Sentence: 336,The,
,17,
,countries,
,now,
,eligible,
,for,
,World,B-rg
,Bank,I-rg
,debt,
,relief,
,are,
,Benin,B-gpe
,",",
,Bolivia,B-gpe
,",",
,Burkina,B-gpe
,Faso,I-gpe
,",",
,Ethiopia,B-gpe
,",",
,Ghana,B-gpe
,",",
,Guyana,B-gpe
,",",
,Honduras,B-gpe
,",",
,Madagascar,B-gpe
,",",
,Mali,B-gpe
,",",
,Mozambique,B-gpe
,",",
,Nicaragua,B-gpe
,",",
,Niger,B-gpe
,",",
,Rwanda,B-gpe
,",",
,Senegal,B-gpe
,",",
,Tanzania,B-gpe
,",",
,Uganda,B-gpe
,and,
,Zambia,B-gpe
,.,
Sentence: 337,Iran,B-gpe
,has,
,closed,
,government,
,offices,
,and,
,schools,
,in,
,Tehran,B-ge
,for,
,two,
,days,
,because,
,of,
,wind-blown,
,dust,
,that,
,has,
,polluted,
,the,
,capital,
,.,
Sentence: 338,Government,
,authorities,
,have,
,declared,
,Tuesday,B-tim
,and,
,Wednesday,B-tim
,a,
,public,
,holiday,
,",",
,and,
,Iranian,B-gpe
,media,
,say,
,many,
,domestic,
,airline,
,flights,
,have,
,been,
,canceled,
,.,
Sentence: 339,Medical,
,authorities,
,are,
,advising,
,people,
,with,
,heart,
,and,
,respiratory,
,problems,
,to,
,stay,
,inside,
,.,
Sentence: 340,Iran,B-gpe
,'s,
,Press,B-rg
,TV,I-rg
,says,
,Tehran,B-ge
,'s,
,Air,B-rg
